id,name,tags,img_url
17,Sparkling Glitter Christmas Trees 20 oz Tumbler Wrap Digital Download,"christmas tree png,christmas tumbler,20 oz sublimation,glitter tumbler png,glitter tumbler wrap,holiday tumbler wrap,snowflakes tumbler,pink christmas png",https://i.etsystatic.com/26926289/r/il/4b5e9d/4269567909/il_794xN.4269567909_ocoo.jpg
17,Sparkling Glitter Christmas Trees 20 oz Tumbler Wrap Digital Download,"christmas tree png,christmas tumbler,20 oz sublimation,glitter tumbler png,glitter tumbler wrap,holiday tumbler wrap,snowflakes tumbler,pink christmas png",https://i.etsystatic.com/26926289/r/il/6253d6/4221912068/il_794xN.4221912068_eza5.jpg
18,Mother's Day 20 oz Tumbler Wrap - God Gifted Me Two Titles Mom and Grandma,"mom tumbler wrap,grandma tumbler wrap,mom tumbler png,grandma tumbler png,20 oz sublimation,floral tumbler wrap,floral tumbler,floral tumbler png",https://i.etsystatic.com/26926289/r/il/03a496/4940441981/il_794xN.4940441981_p3ll.jpg
19,Highland Cow Pink Pumpkins 20 oz Tumbler Wrap,"pumpkins tumbler png,pumpkins tumbler,20 oz wrap,fall tumbler wrap,fall 20 oz,fall tumbler,highland cow wrap,tumbler png,tumbler fall png",https://i.etsystatic.com/26926289/r/il/0b5aa3/5110922243/il_794xN.5110922243_ckor.jpg
19,Highland Cow Pink Pumpkins 20 oz Tumbler Wrap,"pumpkins tumbler png,pumpkins tumbler,20 oz wrap,fall tumbler wrap,fall 20 oz,fall tumbler,highland cow wrap,tumbler png,tumbler fall png",https://i.etsystatic.com/26926289/r/il/863900/5062694810/il_794xN.5062694810_hh90.jpg
19,Highland Cow Pink Pumpkins 20 oz Tumbler Wrap,"pumpkins tumbler png,pumpkins tumbler,20 oz wrap,fall tumbler wrap,fall 20 oz,fall tumbler,highland cow wrap,tumbler png,tumbler fall png",https://i.etsystatic.com/26926289/r/il/ca69e9/5110924451/il_794xN.5110924451_s2yv.jpg
20,Evil Scarecrows Halloween 20 Oz Tumbler Wrap,"scarecrow tumbler,20 oz skinny,tumbler sublimation,tumbler design,tumbler wrap,tumbler png,halloween tumbler",https://i.etsystatic.com/26926289/r/il/e659d7/5168538512/il_794xN.5168538512_iq8u.jpg
21,40 oz Tumbler Wrap Hummingbirds Floral,"40 oz wrap,40 oz sublimation,40 oz png,40 oz designs,hummingbird tumbler,40 oz floral,floral tumbler",https://i.etsystatic.com/26926289/r/il/3b2001/4892331631/il_794xN.4892331631_3qjr.jpg
21,40 oz Tumbler Wrap Hummingbirds Floral,"40 oz wrap,40 oz sublimation,40 oz png,40 oz designs,hummingbird tumbler,40 oz floral,floral tumbler",https://i.etsystatic.com/26926289/r/il/90a7a0/4844071316/il_794xN.4844071316_bc06.jpg
22,Purple Evil Halloween Pumpkins 20 Oz Tumbler Design,"pumpkins tumbler,halloween tumbler,scary tumbler wrap,horror tumbler,horror tumbler wrap,tumbler design,halloween design,20 oz skinny wrap,tumbler wraps",https://i.etsystatic.com/26926289/r/il/01adc6/5216745735/il_794xN.5216745735_70lr.jpg
